Favorite-BatAge,Favorite-R/G,Favorite-PA,Favorite-AB,Favorite-H,Favorite-2B,Favorite-3B,Favorite-HR,Favorite-BB,Favorite-SO,Favorite-BA,Favorite-OBP,Favorite-SLG,Favorite-OPS,Favorite-TB,Favorite-HBP,Favorite-LOB,Result,Distance,BatAge,R/G,PA,AB,H,2B,3B,HR,BB,SO,BA,OBP,SLG,OPS,TB,HBP,LOB,ERA_Starting,ERA_Opposing,CG_Starting,CG_Opposing,IP_Starting,IP_Opposing,ERA+_Starting ,ERA+_Opposing,FIP_Starting,FIP_Opposing,WHIP_Starting,WHIP_Opposing,H9_Starting ,H9_Opposing,HR9_Starting,HR9_Opposing,BB9_Starting,BB9_Opposing,SO9_Starting ,SO9_Opposing,SO/W_Starting,SO/W_Opposing
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,1415.17,28.7,4.79,6178,5541,1418,280,42,210,507,1397,0.256,0.322,0.435,0.757,2412,51,1067,3.95,4.76,0.0,1.0,41.0,174.0,118.0,108.0,3.68,4.06,1.0979999999999999,1.2009999999999998,8.3,9.0,1.3,1.5,1.5,1.8,8.8,9.1,5.71,9.1
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,1415.17,28.7,4.79,6178,5541,1418,280,42,210,507,1397,0.256,0.322,0.435,0.757,2412,51,1067,3.98,7.25,0.0,0.0,167.1,89.1,116.0,71.0,4.51,5.97,1.345,1.735,8.8,12.0,1.2,1.8,3.3,3.6,7.5,5.7,2.3,5.7
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-1415.17,28.7,4.79,6178,5541,1418,280,42,210,507,1397,0.256,0.322,0.435,0.757,2412,51,1067,2.9499999999999997,4.76,0.0,1.0,138.79999999999998,174.0,154.66666666666666,108.0,3.23,4.06,0.9986666666666667,1.2009999999999998,7.666666666666667,9.0,0.9,1.5,1.3,1.8,7.966666666666666,9.1,6.146666666666667,9.1
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-1415.17,28.7,4.79,6178,5541,1418,280,42,210,507,1397,0.256,0.322,0.435,0.757,2412,51,1067,2.5,7.25,0.0,0.0,212.1,89.1,185.0,71.0,2.64,5.97,0.895,1.735,6.0,12.0,1.2,1.8,2.0,3.6,13.8,5.7,6.79,5.7
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,1781.36,27.9,3.89,6029,5494,1326,284,35,135,428,1341,0.24100000000000002,0.3,0.38,0.68,2085,52,1071,3.98,9.3,0.0,0.0,167.1,40.2,116.0,52.0,4.51,6.93,1.345,1.82,8.8,13.5,1.2,2.7,3.3,2.9,7.5,5.5,2.3,5.5
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,1781.36,27.9,3.89,6029,5494,1326,284,35,135,428,1341,0.24100000000000002,0.3,0.38,0.68,2085,52,1071,2.58,5.77,2.0,0.0,223.0,57.2,179.0,83.0,3.27,5.4,0.8029999999999999,1.855,5.5,11.5,1.5,1.4,1.7,5.2,12.1,7.0,7.14,7.0
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-1781.36,27.9,3.89,6029,5494,1326,284,35,135,428,1341,0.24100000000000002,0.3,0.38,0.68,2085,52,1071,3.98,9.723333333333334,0.0,0.0,167.1,44.800000000000004,116.0,49.0,4.51,7.773333333333333,1.345,2.04,8.8,14.133333333333335,1.2,3.1333333333333333,3.3,4.233333333333333,7.5,6.833333333333333,2.3,6.833333333333333
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-1781.36,27.9,3.89,6029,5494,1326,284,35,135,428,1341,0.24100000000000002,0.3,0.38,0.68,2085,52,1071,5.593333333333334,4.61,0.0,0.0,87.16666666666667,148.1,83.0,103.0,5.62,3.99,1.5133333333333334,1.436,9.066666666666666,9.3,1.6666666666666667,0.8,4.566666666666666,3.6,7.833333333333333,8.9,1.7166666666666668,8.9
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,-1781.36,27.9,3.89,6029,5494,1326,284,35,135,428,1341,0.24100000000000002,0.3,0.38,0.68,2085,52,1071,2.58,4.49,2.0,0.0,223.0,144.1,179.0,106.0,3.27,4.61,0.8029999999999999,1.33,5.5,9.6,1.5,1.6,1.7,2.4,12.1,7.8,7.14,7.8
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-1781.36,27.9,3.89,6029,5494,1326,284,35,135,428,1341,0.24100000000000002,0.3,0.38,0.68,2085,52,1071,2.5,6.91,0.0,0.0,212.1,112.0,185.0,69.0,2.64,4.79,0.895,1.518,6.0,11.7,1.2,1.5,2.0,2.0,13.8,6.6,6.79,6.6
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,-1037.17,28.6,3.94,6063,5505,1350,283,29,155,427,1310,0.245,0.305,0.392,0.6970000000000001,2156,67,1063,4.7,4.34,0.0,0.0,74.2,130.2,99.0,110.0,4.43,4.78,1.232,1.3090000000000002,7.5,8.6,1.4,1.4,3.6,3.2,9.9,7.9,2.73,7.9
