Favorite-BatAge,Favorite-R/G,Favorite-PA,Favorite-AB,Favorite-H,Favorite-2B,Favorite-3B,Favorite-HR,Favorite-BB,Favorite-SO,Favorite-BA,Favorite-OBP,Favorite-SLG,Favorite-OPS,Favorite-TB,Favorite-HBP,Favorite-LOB,Result,Distance,BatAge,R/G,PA,AB,H,2B,3B,HR,BB,SO,BA,OBP,SLG,OPS,TB,HBP,LOB,ERA_Starting,ERA_Opposing,CG_Starting,CG_Opposing,IP_Starting,IP_Opposing,ERA+_Starting ,ERA+_Opposing,FIP_Starting,FIP_Opposing,WHIP_Starting,WHIP_Opposing,H9_Starting ,H9_Opposing,HR9_Starting,HR9_Opposing,BB9_Starting,BB9_Opposing,SO9_Starting ,SO9_Opposing,SO/W_Starting,SO/W_Opposing
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,2169.84,29.6,4.45,6108,5472,1323,249,23,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,3.98,5.98,0.0,0.0,167.1,102.1,116.0,77.0,4.51,6.13,1.345,1.466,8.8,9.8,1.2,2.2,3.3,3.4,7.5,7.1,2.3,7.1
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,2169.84,29.6,4.45,6108,5472,1323,249,23,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,2.58,7.09,2.0,0.0,223.0,59.2,179.0,65.0,3.27,6.35,0.8029999999999999,1.5419999999999998,5.5,9.5,1.5,2.0,1.7,4.4,12.1,5.9,7.14,5.9
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,-2169.84,29.6,4.45,6108,5472,1323,249,23,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,2.58,3.99,2.0,0.0,223.0,67.2,179.0,116.0,3.27,3.72,0.8029999999999999,1.167,5.5,7.8,1.5,1.2,1.7,2.7,12.1,10.5,7.14,10.5
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2169.84,29.6,4.45,6108,5472,1323,249,23,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,2.5,4.91,0.0,0.0,212.1,95.1,185.0,94.0,2.64,4.63,0.895,1.29,6.0,8.8,1.2,1.9,2.0,2.8,13.8,11.1,6.79,11.1
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2169.84,29.6,4.45,6108,5472,1323,249,23,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,3.95,7.11,0.0,0.0,41.0,81.0,118.0,65.0,3.68,6.72,1.0979999999999999,1.642,8.3,11.1,1.3,2.6,1.5,3.7,8.8,8.0,5.71,8.0
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,2169.84,29.6,4.45,6108,5472,1323,249,23,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,3.71,4.91,0.0,0.0,60.2,95.1,125.0,94.0,4.96,4.63,1.253,1.29,8.3,8.8,1.5,1.9,3.0,2.8,7.1,11.1,2.4,11.1
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,2169.84,29.6,4.45,6108,5472,1323,249,23,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,2.5,4.58,0.0,0.0,212.1,96.1,185.0,101.0,2.64,4.52,0.895,1.183,6.0,7.5,1.2,1.5,2.0,3.2,13.8,9.4,6.79,9.4
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,2169.84,29.6,4.45,6108,5472,1323,249,23,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,3.98,7.09,0.0,0.0,167.1,59.2,116.0,65.0,4.51,6.35,1.345,1.5419999999999998,8.8,9.5,1.2,2.0,3.3,4.4,7.5,5.9,2.3,5.9
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2169.84,29.6,4.45,6108,5472,1323,249,23,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,2.9499999999999997,7.11,0.0,0.0,138.79999999999998,81.0,154.66666666666666,65.0,3.23,6.72,0.9986666666666667,1.642,7.666666666666667,11.1,0.9,2.6,1.3,3.7,7.966666666666666,8.0,6.146666666666667,8.0
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2169.84,29.6,4.45,6108,5472,1323,249,23,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,3.98,5.38,0.0,0.0,167.1,72.0,116.0,86.0,4.51,6.23,1.345,1.5419999999999998,8.8,10.6,1.2,2.3,3.3,3.3,7.5,6.9,2.3,6.9
