Favorite-R/G,Favorite-PA,Favorite-AB,Favorite-H,Favorite-HR,Favorite-BB,Favorite-SO,Favorite-BA,Favorite-OBP,Favorite-SLG,Favorite-OPS,Favorite-TB,Favorite-HBP,Favorite-LOB,Result,Distance,R/G,PA,AB,H,HR,BB,SO,BA,OBP,SLG,OPS,TB,HBP,LOB,ERA_Starting,ERA_Opposing,WHIP_Starting,WHIP_Opposing,IP_Starting,IP_Opposing,K_Starting ,K_Opposing,HR_Starting,HR_Opposing
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,1415.17,4.79,6178,5541,1418,210,507,1397,0.256,0.322,0.435,0.757,2412,51,1067,3.95,4.76,1.1,1.2,41.0,174.0,40.0,175.0,6.0,29.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,1415.17,4.79,6178,5541,1418,210,507,1397,0.256,0.322,0.435,0.757,2412,51,1067,3.98,7.25,1.34,1.74,167.1,89.1,140.0,57.0,23.0,18.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-1415.17,4.79,6178,5541,1418,210,507,1397,0.256,0.322,0.435,0.757,2412,51,1067,2.96,4.76,1.01,1.2,104.1,174.0,93.5,175.0,10.5,29.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-1415.17,4.79,6178,5541,1418,210,507,1397,0.256,0.322,0.435,0.757,2412,51,1067,2.5,7.25,0.89,1.74,212.1,89.1,326.0,57.0,29.0,18.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,1781.36,3.89,6029,5494,1326,135,428,1341,0.24100000000000002,0.3,0.38,0.68,2085,52,1071,3.98,9.3,1.34,1.82,167.1,40.2,140.0,25.0,23.0,12.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,1781.36,3.89,6029,5494,1326,135,428,1341,0.24100000000000002,0.3,0.38,0.68,2085,52,1071,2.58,5.77,0.8,1.86,223.0,57.2,300.0,45.0,36.0,9.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-1781.36,3.89,6029,5494,1326,135,428,1341,0.24100000000000002,0.3,0.38,0.68,2085,52,1071,3.98,9.795,1.34,2.05,167.1,33.6,140.0,26.0,23.0,11.5
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-1781.36,3.89,6029,5494,1326,135,428,1341,0.24100000000000002,0.3,0.38,0.68,2085,52,1071,5.445,4.61,1.46,1.44,65.2,148.1,57.5,146.0,10.0,14.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,-1781.36,3.89,6029,5494,1326,135,428,1341,0.24100000000000002,0.3,0.38,0.68,2085,52,1071,2.58,4.49,0.8,1.33,223.0,144.1,300.0,125.0,36.0,25.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-1781.36,3.89,6029,5494,1326,135,428,1341,0.24100000000000002,0.3,0.38,0.68,2085,52,1071,2.5,6.91,0.89,1.52,212.1,112.0,326.0,82.0,29.0,19.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,-1037.17,3.94,6063,5505,1350,155,427,1310,0.245,0.305,0.392,0.6970000000000001,2156,67,1063,4.7,4.34,1.23,1.31,74.2,130.2,82.0,115.0,12.0,21.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-1037.17,3.94,6063,5505,1350,155,427,1310,0.245,0.305,0.392,0.6970000000000001,2156,67,1063,4.12,6.33,1.19,1.47,91.2,123.2,96.0,109.0,15.0,27.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,1037.17,3.94,6063,5505,1350,155,427,1310,0.245,0.305,0.392,0.6970000000000001,2156,67,1063,2.5,4.34,0.89,1.31,212.1,130.2,326.0,115.0,29.0,21.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,1037.17,3.94,6063,5505,1350,155,427,1310,0.245,0.305,0.392,0.6970000000000001,2156,67,1063,2.96,5.154999999999999,1.01,1.665,104.1,45.5,93.5,34.5,10.5,9.0
