,Favorite-BatAge,Favorite-R/G,Favorite-PA,Favorite-AB,Favorite-H,Favorite-2B,Favorite-3B,Favorite-HR,Favorite-BB,Favorite-SO,Favorite-BA,Favorite-OBP,Favorite-SLG,Favorite-OPS,Favorite-TB,Favorite-HBP,Favorite-LOB,Result,Distance,BatAge,R/G,PA,AB,H,2B,3B,HR,BB,SO,BA,OBP,SLG,OPS,TB,HBP,LOB,ERA_Starting,ERA_Opposing,CG_Starting,CG_Opposing,IP_Starting,IP_Opposing,ERA+_Starting ,ERA+_Opposing,FIP_Starting,FIP_Opposing
79,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2293.76,27.2,5.25,6271,5515,1374,269,23,267,625,1421,0.249,0.32899999999999996,0.451,0.7809999999999999,2490,62,1100,2.58,4.45,0.8,1.24,300.0,149.0,1.0,1.0,223.0,182.0
80,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2293.76,27.2,5.25,6271,5515,1374,269,23,267,625,1421,0.249,0.32899999999999996,0.451,0.7809999999999999,2490,62,1100,2.5,4.55,0.89,1.48,326.0,37.0,0.0,0.0,212.1,31.2
81,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2293.76,27.2,5.25,6271,5515,1374,269,23,267,625,1421,0.249,0.32899999999999996,0.451,0.7809999999999999,2490,62,1100,4.7,3.82,1.23,1.28,82.0,186.0,0.0,0.0,74.2,150.2
82,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,2293.76,27.2,5.25,6271,5515,1374,269,23,267,625,1421,0.249,0.32899999999999996,0.451,0.7809999999999999,2490,62,1100,5.86,4.17,1.67,1.23,68.0,98.0,0.0,0.0,70.2,69.0
83,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,2293.76,27.2,5.25,6271,5515,1374,269,23,267,625,1421,0.249,0.32899999999999996,0.451,0.7809999999999999,2490,62,1100,4.12,3.82,1.19,1.28,96.0,186.0,0.0,0.0,91.2,150.2
84,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,2293.76,27.2,5.25,6271,5515,1374,269,23,267,625,1421,0.249,0.32899999999999996,0.451,0.7809999999999999,2490,62,1100,3.98,4.45,1.34,1.24,140.0,149.0,0.0,1.0,167.1,182.0
85,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,2293.76,27.2,5.25,6271,5515,1374,269,23,267,625,1421,0.249,0.32899999999999996,0.451,0.7809999999999999,2490,62,1100,2.58,4.91,0.8,1.3,300.0,140.0,1.0,0.0,223.0,161.1
86,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2624.74,28.0,5.02,6255,5579,1407,322,20,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,4.7,2.63,1.23,1.11,82.0,103.0,0.0,0.0,74.2,96.0
87,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2624.74,28.0,5.02,6255,5579,1407,322,20,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,3.98,5.595,1.34,1.37,140.0,41.0,0.0,0.0,167.1,54.650000000000006
89,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,2624.74,28.0,5.02,6255,5579,1407,322,20,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,4.7,6.85,1.23,1.31,82.0,11.0,0.0,0.0,74.2,23.2
90,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,2624.74,28.0,5.02,6255,5579,1407,322,20,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,3.98,2.63,1.34,1.11,140.0,103.0,0.0,0.0,167.1,96.0
92,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,2624.74,28.0,5.02,6255,5579,1407,322,20,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,2.58,3.89,0.8,1.31,300.0,90.0,1.0,0.0,223.0,176.0
93,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,2624.74,28.0,5.02,6255,5579,1407,322,20,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,2.5,3.81,0.89,1.19,326.0,141.0,0.0,0.0,212.1,144.0
94,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2624.74,28.0,5.02,6255,5579,1407,322,20,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,2.5,4.55,0.89,1.305,326.0,74.5,0.0,0.0,212.1,81.55
