,Favorite-BatAge,Favorite-R/G,Favorite-PA,Favorite-AB,Favorite-H,Favorite-2B,Favorite-3B,Favorite-HR,Favorite-BB,Favorite-SO,Favorite-BA,Favorite-OBP,Favorite-SLG,Favorite-OPS,Favorite-TB,Favorite-HBP,Favorite-LOB,Result,Distance,BatAge,R/G,PA,AB,H,2B,3B,HR,BB,SO,BA,OBP,SLG,OPS,TB,HBP,LOB,ERA_Starting,ERA_Opposing,CG_Starting,CG_Opposing,IP_Starting,IP_Opposing,ERA+_Starting ,ERA+_Opposing,FIP_Starting,FIP_Opposing
0,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,2169.84,29.6,4.45,6108,5472,1323,249,23,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,3.98,5.98,1.34,1.47,140.0,81.0,0.0,0.0,167.1,102.1
1,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,2169.84,29.6,4.45,6108,5472,1323,249,23,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,2.58,7.09,0.8,1.54,300.0,39.0,1.0,0.0,223.0,59.2
2,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,-2169.84,29.6,4.45,6108,5472,1323,249,23,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,2.58,3.99,0.8,1.17,300.0,79.0,1.0,0.0,223.0,67.2
3,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2169.84,29.6,4.45,6108,5472,1323,249,23,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,2.5,4.91,0.89,1.29,326.0,118.0,0.0,0.0,212.1,95.1
4,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2169.84,29.6,4.45,6108,5472,1323,249,23,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,3.95,7.11,1.1,1.64,40.0,72.0,0.0,0.0,41.0,81.0
6,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,2169.84,29.6,4.45,6108,5472,1323,249,23,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,3.71,4.91,1.25,1.29,48.0,118.0,0.0,0.0,60.2,95.1
7,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,2169.84,29.6,4.45,6108,5472,1323,249,23,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,2.5,4.58,0.89,1.18,326.0,101.0,0.0,0.0,212.1,96.1
8,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,2169.84,29.6,4.45,6108,5472,1323,249,23,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,3.98,7.09,1.34,1.54,140.0,39.0,0.0,0.0,167.1,59.2
9,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2169.84,29.6,4.45,6108,5472,1323,249,23,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,2.96,7.11,1.01,1.64,93.5,72.0,0.0,0.0,104.1,81.0
10,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2169.84,29.6,4.45,6108,5472,1323,249,23,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,3.98,5.38,1.34,1.54,140.0,55.0,0.0,0.0,167.1,72.0
11,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2169.84,29.6,4.45,6108,5472,1323,249,23,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,5.86,6.42,1.67,1.44,68.0,75.0,0.0,0.0,70.2,82.2
12,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2169.84,29.6,4.45,6108,5472,1323,249,23,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,2.96,6.42,1.01,1.44,93.5,75.0,0.0,0.0,104.1,82.2
13,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,-2169.84,29.6,4.45,6108,5472,1323,249,23,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,3.98,5.03,1.34,1.37,140.0,42.0,0.0,0.0,167.1,39.1
14,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2169.84,29.6,4.45,6108,5472,1323,249,23,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,2.58,2.75,0.8,1.42,300.0,13.0,1.0,0.0,223.0,19.2
