Favorite-R/G,Favorite-PA,Favorite-AB,Favorite-H,Favorite-HR,Favorite-BB,Favorite-SO,Favorite-BA,Favorite-OBP,Favorite-SLG,Favorite-OPS,Favorite-TB,Favorite-HBP,Favorite-LOB,Result,Distance,R/G,PA,AB,H,HR,BB,SO,BA,OBP,SLG,OPS,TB,HBP,LOB,ERA_Starting,ERA_Opposing,WHIP_Starting,WHIP_Opposing,IP_Starting,IP_Opposing,K_Starting ,K_Opposing,HR_Starting,HR_Opposing
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,2169.84,4.45,6108,5472,1323,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,3.98,5.98,1.34,1.47,167.1,102.1,140.0,81.0,23.0,25.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,2169.84,4.45,6108,5472,1323,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,2.58,7.09,0.8,1.54,223.0,59.2,300.0,39.0,36.0,13.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,-2169.84,4.45,6108,5472,1323,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,2.58,3.99,0.8,1.17,223.0,67.2,300.0,79.0,36.0,9.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2169.84,4.45,6108,5472,1323,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,2.5,4.91,0.89,1.29,212.1,95.1,326.0,118.0,29.0,20.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2169.84,4.45,6108,5472,1323,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,3.95,7.11,1.1,1.64,41.0,81.0,40.0,72.0,6.0,23.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,2169.84,4.45,6108,5472,1323,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,3.71,4.91,1.25,1.29,60.2,95.1,48.0,118.0,10.0,20.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,2169.84,4.45,6108,5472,1323,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,2.5,4.58,0.89,1.18,212.1,96.1,326.0,101.0,29.0,16.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,2169.84,4.45,6108,5472,1323,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,3.98,7.09,1.34,1.54,167.1,59.2,140.0,39.0,23.0,13.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2169.84,4.45,6108,5472,1323,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,2.96,7.11,1.01,1.64,104.1,81.0,93.5,72.0,10.5,23.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2169.84,4.45,6108,5472,1323,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,3.98,5.38,1.34,1.54,167.1,72.0,140.0,55.0,23.0,18.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2169.84,4.45,6108,5472,1323,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,5.86,6.42,1.67,1.44,70.2,82.2,68.0,75.0,9.0,24.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2169.84,4.45,6108,5472,1323,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,2.96,6.42,1.01,1.44,104.1,82.2,93.5,75.0,10.5,24.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,-2169.84,4.45,6108,5472,1323,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,3.98,5.03,1.34,1.37,167.1,39.1,140.0,42.0,23.0,6.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2169.84,4.45,6108,5472,1323,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,2.58,2.75,0.8,1.42,223.0,19.2,300.0,13.0,36.0,5.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,2169.84,4.45,6108,5472,1323,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,3.98,6.42,1.34,1.44,167.1,82.2,140.0,75.0,23.0,24.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,2169.84,4.45,6108,5472,1323,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,3.95,5.03,1.1,1.37,41.0,39.1,40.0,42.0,6.0,6.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,2169.84,4.45,6108,5472,1323,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,2.58,7.11,0.8,1.64,223.0,81.0,300.0,72.0,36.0,23.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,2169.84,4.45,6108,5472,1323,214,514,1300,0.242,0.313,0.413,0.726,2260,73,1071,2.5,5.38,0.89,1.54,212.1,72.0,326.0,55.0,29.0,18.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2012.74,3.84,6034,5507,1317,188,422,1412,0.239,0.298,0.391,0.6890000000000001,2153,57,1027,2.5,5.61,0.89,1.37,212.1,110.2,326.0,67.0,29.0,29.0
